description,artist,album,format,extra
"Exorcizphobia ""Spiritual Exodus"" CD | CD",Exorcizphobia,Spiritual Exodus,CD,
"Ancient Boreal Forest ""A Relic From the Sands of Time / Where Dragons Dream""  Double CD | CD",Ancient Boreal Forest,A Relic From the Sands of Time / Where Dragons Dream,CD,
"Parasite Dreams ""Self Centered And Too Late"" MC | Cassette",Parasite Dreams,Self Centered And Too Late,Cassette,
"Grauwsaem / Doodskrijs ""Grafroof"" Split Demo | Cassette",Grauwsaem / Doodskrijs,Grafroof,Cassette,
"Burzum ""Belus"" CD | CD",Burzum,Belus,CD,
"Obsidian Towers ""The Call of Black Majesty"" LP | Vinyl",Obsidian Towers,The Call of Black Majesty,Vinyl,
"Black Angel ""Reign Of Satan"" Picture 7"" | Vinyl",Black Angel,Reign Of Satan,Vinyl,
"Xoth ""Interdimensional Invocations"" LP | Vinyl",Xoth,Interdimensional Invocations,Vinyl,
"Hands of Orlac ""Figli del Crepuscolo"" LP | Vinyl",Hands of Orlac,Figli del Crepuscolo,Vinyl,
"Fief ""I"" MC | Cassette",Fief,I,Cassette,
"Professor Black & Gezol ""Tarantula"" 7"" (High Spirits & Sabbat) | Vinyl",Professor Black & Gezol,Tarantula,Vinyl,
Shadowbreed ”Avatar” 7’’ | Vinyl,,,,
"Gutvoid ""Durance of Lightless Horizons"" CD | CD",Gutvoid,Durance of Lightless Horizons,CD,
"Iætun ""Eitrkvikja"" CD | CD",Iætun,Eitrkvikja,CD,
"Harnisch ""Rauhnachtsreigen"" LP | Vinyl",Harnisch,Rauhnachtsreigen,Vinyl,
"Mephorash ""Death Awakens"" MC | Cassette",Mephorash,Death Awakens,Cassette,
"Stangarigel ""Metafyzika Barbarstva"" MC | Cassette",Stangarigel,Metafyzika Barbarstva,Cassette,
"Azothyst ""Blood of Dead God"" MC | Cassette",Azothyst,Blood of Dead God,Cassette,
"Vio-Lence ""Oppressing the Masses"" MC | Cassette",Vio-Lence,Oppressing the Masses,Cassette,
"Malum / Lathspell ""Luciferian Nightfall"" Digipak Split CD | CD",Malum / Lathspell,Luciferian Nightfall,CD,
"Vøidwomb ""Altars of Cosmic Devotion"" LP | Vinyl",Vøidwomb,Altars of Cosmic Devotion,Vinyl,
"Funereal Moon ""In The Shadows"" CD | CD",Funereal Moon,In The Shadows,CD,
"Vermeth ""Your Ruin..."" LP | Vinyl",Vermeth,Your Ruin...,Vinyl,
"Dawn Of Time ""A Force Of One"" 7"" | Vinyl",Dawn Of Time,A Force Of One,Vinyl,
"Arditi ""Emblem Of Victory"" Digipak CD | CD",Arditi,Emblem Of Victory,CD,
"Christian Cosentino ""High Rising Times"" LP | Vinyl",Christian Cosentino,High Rising Times,Vinyl,
"Perversor ""Psicomoro"" MC | Cassette",Perversor,Psicomoro,Cassette,
"Kataxu ""Roots Thunder"" LP | Vinyl",Kataxu,Roots Thunder,Vinyl,
Äkth Gánahëth “Crowned in Shadows” Digipak CD | CD,Äkth Gánahëth,Crowned in Shadows,CD,
Gig Ticket: Blasphemy / Death Worship etc. 12/7/24 Mexico City | CD,,,,
"Black Sword Thunder Attack ""March of the Damned"" MC | Cassette",Black Sword Thunder Attack,March of the Damned,Cassette,
"Neil Merryweather & the Space Rangers ""Kryptonite"" Digipak CD | CD",Neil Merryweather & the Space Rangers,Kryptonite,CD,
"Kvasir's Blood / Vrildom ""A Pact of Steel From North and South"" Split CD | CD",Kvasir's Blood / Vrildom,A Pact of Steel From North and South,CD,
"Thoth ""Zamglenie"" Digipak CD | CD",Thoth,Zamglenie,CD,
"Acid Drinkers ""Dirty Money, Dirty Tricks"" MC | Cassette",Acid Drinkers,"Dirty Money, Dirty Tricks",Cassette,
"Akathartos ""Baptised By Darkness"" Digipak CD | CD",Akathartos,Baptised By Darkness,CD,
"Immortal ""Pure Holocaust"" LP | Vinyl",Immortal,Pure Holocaust,Vinyl,
"Seer's Fire ""Whispers in the Fire"" Double LP | Vinyl",Seer's Fire,Whispers in the Fire,Vinyl,
V/A Gore Mordant Comp. I MC | Cassette,,,,
"Scars of Sodom ""Annihilation of Souls"" CD | CD",Scars of Sodom,Annihilation of Souls,CD,
"Count Raven ""The Sixth Storm"" Double LP | Vinyl",Count Raven,The Sixth Storm,Vinyl,
"Thanatomass ""Hades"" LP | Vinyl",Thanatomass,Hades,Vinyl,
"Drowning the Light ""Haunter of the Deep"" LP | Vinyl",Drowning The Light,Haunter of the Deep,Vinyl,
"The Obsessed ""Live At Big Dipper"" Silver Vinyl LP | Vinyl",The Obsessed,Live At Big Dipper,Vinyl,
Satanic Warmaster / Clandestine Blaze Split LP | Vinyl,,,,
"Diary About My Nightmares ""Forbidden Anger"" CD | CD",Diary About My Nightmares,Forbidden Anger,CD,
"Power From Hell ""The True Metal"" LP | Vinyl",Power From Hell,The True Metal,Vinyl,
"Horna ""Sota"" 7"" (1st Press Sinister Productions 1999) | Vinyl",Horna,Sota,Vinyl,
"Ildganger ""Wanderer of Fiery Planes"" Digipak CD | CD",Ildganger,Wanderer of Fiery Planes,CD,
"Burial Shrine ""Labyrinth of Bridges"" LP | Vinyl",Burial Shrine,Labyrinth of Bridges,Vinyl,
"Satyricon ""Nemesis Divina"" CD | CD",Satyricon,Nemesis Divina,CD,
"Endalok ""Úr Draumheimi Viðurstyggðar"" A5 Digipak CD | CD",Endalok,Úr Draumheimi Viðurstyggðar,CD,
"Forlorn Kingdom / Nahtjäger ""Das Portal zum Bergreich"" Split LP | Vinyl",Forlorn Kingdom / Nahtjäger,Das Portal zum Bergreich,Vinyl,
"Atrament ""Scum Sect"" MC | Cassette",Atrament,Scum Sect,Cassette,
"Simorgh ""Shokooh​-​e Mehr Va Atash"" LP | Vinyl",Simorgh,Shokooh​-​e Mehr Va Atash,Vinyl,
Seges Findre / Doomsday Cult Split CD | CD,,,,
"Warhawk ""Pray For War"" MC | Cassette",Warhawk,Pray For War,Cassette,
Borda's Rope / Helm of Saga Split LP | Vinyl,,,,
"Invoker ""Initiate Mind Regression"" Demo | Cassette",Invoker,Initiate Mind Regression,Cassette,
"Beherit ""Drawing Down the Moon"" Blue Vinyl LP (Brazilian Ritual Press) | Vinyl",Beherit,Drawing Down the Moon,Vinyl,
"Voids Of Vomit ""Veritas Vltima Vitae"" CD | CD",Voids Of Vomit,Veritas Vltima Vitae,CD,
"Astrophobos ""Corpus"" CD | CD",Astrophobos,Corpus,CD,
"Behrosth ""Оазис"" CD (GoatowaRex) | CD",Behrosth,Оазис,CD,
"Svartrit ""Svarthetens Ridå"" CD (1st Press - Ancient Recs Related BM) | CD",Svartrit,Svarthetens Ridå,CD,
"Forgotten ""Whispers Of Existence"" MC | Cassette",Forgotten,Whispers Of Existence,Cassette,
"Fulanno ""Nadie Esta A Salvo Del Mal"" LP | Vinyl",Fulanno,Nadie Esta A Salvo Del Mal,Vinyl,
"White Nights ""Into the Lap of the Ancient Mother"" Digipak CD | CD",White Nights,Into the Lap of the Ancient Mother,CD,
"Vermisst ""Zmierzch Stalowej Ciemnosci"" CD | CD",Vermisst,Zmierzch Stalowej Ciemnosci,CD,
"Holocaust ""Heavy Metal Mania"" MC | Cassette",Holocaust,Heavy Metal Mania,Cassette,
"Tirgûl ""Promo Compilation"" LP | Vinyl",Tirgûl,Promo Compilation,Vinyl,
"Xasthur ""The Funeral of Being"" LP | Vinyl",Xasthur,The Funeral of Being,Vinyl,
Orodruin / Warden Split LP (Lim to 100) | Vinyl,,,,
"Asubha ""Le Jésuve"" MC | Cassette",Asubha,Le Jésuve,Cassette,
"Voodus ""Open the Otherness"" Digipak CD | CD",Voodus,Open the Otherness,CD,
"Urgehal ""Atom Kinder"" LP | Vinyl",Urgehal,Atom Kinder,Vinyl,
"Celebratum ""Kollektiv Sinnssykdom"" LP | Vinyl",Celebratum,Kollektiv Sinnssykdom,Vinyl,
"Simonia ""In Embrace of Pain"" Demo | Cassette",Simonia,In Embrace of Pain,Cassette,
"Annihilation 666 / Bliss of Flesh split 7"" | Vinyl",,,,
"Quest Master ""The Twelve Castles / The Twelve Temples"" Digipak Double CD | CD",Quest Master,The Twelve Castles / The Twelve Temples,CD,
"BALLARD ""Igual"" 7"" | Vinyl",BALLARD,Igual,Vinyl,
"Sore Throat ""Disgrace To The Corpse Of Sid” Digipak CD | CD",Sore Throat,Disgrace To The Corpse Of Sid,CD,
"Camp / Intumescence ""Camp / Sarcoma"" Split 7"" | Vinyl",Camp / Intumescence,Camp / Sarcoma,Vinyl,
"Suspiral ""Delve into the Mysteries of Transcendence"" LP | Vinyl",Suspiral,Delve into the Mysteries of Transcendence,Vinyl,
"Sadomortuary ""Consecrated in Rot & Blasphemy"" CD | CD",Sadomortuary,Consecrated in Rot & Blasphemy,CD,
"Haryon ""Memories of Arda"" CD | CD",Haryon,Memories of Arda,CD,
"Tetragrammacide ""Typho​-​Tantric Aphorisms From The Arachneophidian Qur'an"" LP | Vinyl",Tetragrammacide,Typho​-​Tantric Aphorisms From The Arachneophidian Qur'an,Vinyl,
"Graveolence ""Malformation"" Demo | Cassette",Graveolence,Malformation,Cassette,
"Parasite Crowd ""Trichotomia"" CD | CD",Parasite Crowd,Trichotomia,CD,
"High Warden ""Land of Stone"" MC | Cassette",High Warden,Land of Stone,Cassette,
"I, Destroyer ""Cold, Dead Hands"" MC | Vinyl","I, Destroyer","Cold, Dead Hands",Vinyl,
"Mine / Dawnbreed Split 7"" | Vinyl",,,,
Vengeance Sorcery “Forbidden Doctrine of the Youthful Gate - Demo 3” Demo | Cassette,Vengeance Sorcery,Forbidden Doctrine of the Youthful Gate - Demo 3,Cassette,
"Tales of Darknord ""Obliteration Allegory"" Demo | Cassette",Tales of Darknord,Obliteration Allegory,Cassette,
Grundhyrde / Klagesturm Split Demo | Cassette,,,,
"Kâl ""Tage der Nacht"" MC | Cassette",Kâl,Tage der Nacht,Cassette,
"Cosmic Church / Kêres ""Lucifer Returns To Heaven"" Split LP | Vinyl",Cosmic Church / Kêres,Lucifer Returns To Heaven,Vinyl,
"Avatar ""Emperors Of The Night"" LP | Vinyl",Avatar,Emperors Of The Night,Vinyl,
"Bactherion ""The Miracle of Death"" MC | Cassette",Bactherion,The Miracle of Death,Cassette,
"Deep Desolation ""Boski Jad"" LP | CD",Deep Desolation,Boski Jad,CD,
"Nergal ""The Wizard of Nerath"" Clear Vinyl Test PressLP | Vinyl",Nergal,The Wizard of Nerath,Vinyl,
"Illum Adora ""Miasma of a Damned Soul"" LP | Vinyl",Illum Adora,Miasma of a Damned Soul,Vinyl,
"Black Goat ""Dominion of Fire"" LP | Vinyl",Black Goat,Dominion of Fire,Vinyl,
"Parasite Crowd ""Feasting Parasites"" CD | CD",Parasite Crowd,Feasting Parasites,CD,
"CNTMPT ""Von Unreiner Willkür"" MC | Cassette",CNTMPT,Von Unreiner Willkür,Cassette,
"Warhead "" X-Mas Bop / White Christmas "" 7"" (With Paul Chain) | Vinyl",Warhead, X-Mas Bop / White Christmas ,Vinyl,
"Requiem ""Nunc Et Semper"" Test Press LP | Vinyl",Requiem,Nunc Et Semper,Vinyl,
"Ördög ""Ov Rapist's Endless Torment"" Demo | Cassette",Ördög,Ov Rapist's Endless Torment,Cassette,
"Trial ""Malicious Arts"" 7"" | Vinyl",Trial,Malicious Arts,Vinyl,
"Funeral Procession ""Schmerz Aus Licht"" Digipak CD | CD",Funeral Procession,Schmerz Aus Licht,CD,
"North ""Thorns On The Black Rose"" CD | CD",North,Thorns On The Black Rose,CD,
"Funeral Winds ""Essence"" LP | Vinyl",Funeral Winds,Essence,Vinyl,
"Senobyte ""Senobyte"" 7"" | Vinyl",Senobyte,Senobyte,Vinyl,
"Pox ""Pox"" MC | Cassette",Pox,Pox,Cassette,
"Quest Master ""The Twelve Castles / The Twelve Temples"" Double LP | Vinyl",Quest Master,The Twelve Castles / The Twelve Temples,Vinyl,
"Rituals of the Dead Hand ""Blood Oath"" LP | Vinyl",Rituals of the Dead Hand,Blood Oath,Vinyl,
"Black Hole ""Beyond the Gravestone"" Double LP (2023 2nd Pressing) | Vinyl",Black Hole,Beyond the Gravestone,Vinyl,
"Verberis ""Vorant Gnosis"" Digipak CD | CD",Verberis,Vorant Gnosis,CD,
"Krolok ""Funeral Winds & Crimson Sky"" LP | Vinyl",Krolok,Funeral Winds & Crimson Sky,Vinyl,
"Manierisme ""Everyone Has Two Sides"" LP | Vinyl",Manierisme,Everyone Has Two Sides,Vinyl,
"Vimur ""Exegesis"" MLP | Vinyl",Vimur,Exegesis,Vinyl,
"Incantation ""Decimate Christendom"" LP (First Press) | Vinyl",Incantation,Decimate Christendom,Vinyl,
"Varvar (Варваръ) ""The Beastly Abyss Will Kill You (З​в​е​р​и​н​а​я б​е​з​д​н​а у​б​ь​ё​т в​а​с)"" LP | Vinyl",Varvar (Варваръ),The Beastly Abyss Will Kill You (З​в​е​р​и​н​а​я б​е​з​д​н​а у​б​ь​ё​т в​а​с),Vinyl,
"Karnarium ""Tänk på döden"" CD (Pre-Irkallian Oracle) | CD",Karnarium,Tänk på döden,CD,
"Hellcrash ""Krvcifix Invertör"" LP | Vinyl",Hellcrash,Krvcifix Invertör,Vinyl,
"Sore Throat ""Aural Butchery"" CD | CD",Sore Throat,Aural Butchery,CD,
"Oublieth ""À l'Ombre du Royaume en Cendres"" LP | Vinyl",Oublieth,À l'Ombre du Royaume en Cendres,Vinyl,
"Chaos Echoes "" Parisian Sessions / Rehearsal I"" Test Press LP | Vinyl",Chaos Echoes, Parisian Sessions / Rehearsal I,Vinyl,
"Heretic Cult Redeemer ""Kelevsma"" LP | Vinyl",Heretic Cult Redeemer,Kelevsma,Vinyl,
"Encomium / Funeral Procession ""Under An Endarkened Skie"" Split 7"" | Vinyl",Encomium / Funeral Procession,Under An Endarkened Skie,Vinyl,
"Pestschwadron ""Im Auftrag Gegen Den Herrn"" Demo | Cassette",Pestschwadron,Im Auftrag Gegen Den Herrn,Cassette,
"Motorhead ""Live at Manchester Apollo 06-10-1983"" LP | Vinyl",Motorhead,Live at Manchester Apollo 06-10-1983,Vinyl,
"Insane Vesper ""...Therefore, He Shall Consume"" CD | CD",Insane Vesper,"...Therefore, He Shall Consume",CD,
"Nekrofilth ""Nganga"" Holographic Picture MLP | Vinyl",Nekrofilth,Nganga,Vinyl,
Caixão “Knaga” Test Press LP | Vinyl,Caixão,Knaga,Vinyl,
"Selefice ""Where Is The Heaven"" CD | CD",Selefice,Where Is The Heaven,CD,
"Arkhtinn ""三度目の災害"" LP | Vinyl",Arkhtinn,三度目の災害,Vinyl,
"Devil's Breath ""Embrace of the Serpent"" Digipak CD | CD",Devil's Breath,Embrace of the Serpent,CD,
"Witchbones ""Goety"" LP | Vinyl",Witchbones,Goety,Vinyl,
"Magan ""Nathicana"" CD | CD",Magan,Nathicana,CD,
"Old Sorcery / Haxan Dreams ""War Of The Old Kingdom"" Split LP | Vinyl",Old Sorcery / Haxan Dreams,War Of The Old Kingdom,Vinyl,
"Aura Saturnal ""Aura Saturnal"" 7"" | Vinyl",Aura Saturnal,Aura Saturnal,Vinyl,
"Cemetery Lights ""The Underworld"" Blue Vinyl Test Press LP | Vinyl",Cemetery Lights,The Underworld,Vinyl,
"Desaster ""Souls of Infernity + The Tyrants Rehearsal Sessions"" CD | CD",Desaster,Souls of Infernity + The Tyrants Rehearsal Sessions,CD,
"Masmorra ""Malum Vesperum"" LP (Lim to 100) | Vinyl",Masmorra,Malum Vesperum,Vinyl,
"Gersey Deoful ""Gersey Deoful"" Demo | Cassette",Gersey Deoful,Gersey Deoful,Cassette,
"Altar of Gore ""Obscure & Obscene Gods"" CD | CD",Altar of Gore,Obscure & Obscene Gods,CD,
"Mephistofeles ""Violent Theatre"" LP | Vinyl",Mephistofeles,Violent Theatre,Vinyl,
"Transmetal ""Velocidad, Desecho y Metal"" CD (Demo '87) | CD",Transmetal,"Velocidad, Desecho y Metal",CD,
"Estenosis ""Confesiones De Un Ladrón de Tumbas"" LP | Vinyl",Estenosis,Confesiones De Un Ladrón de Tumbas,Vinyl,
"Antediluvian ""Through The Cervix Of Hawaah"" CD | CD",Antediluvian,Through The Cervix Of Hawaah,CD,
"Gruesome Bodyparts Autopsy ""An Extremely Rotten and Preservated Compendium Of Limbless Torsos....."" CD | CD",Gruesome Bodyparts Autopsy,An Extremely Rotten and Preservated Compendium Of Limbless Torsos.....,CD,
"Whiplash ""Messages in Blood (The Early Years)"" LP | Vinyl",Whiplash,Messages in Blood (The Early Years),Vinyl,
"Morpheus Descends ""Ritual of Infinity"" CD | CD",Morpheus Descends,Ritual Of Infinity,CD,
"Unpure ""All That I Have Behind Me"" LP | Vinyl",Unpure,All That I Have Behind Me,Vinyl,
"Hail Conjurer ""Erotic Hell"" MC | Cassette",Hail Conjurer,Erotic Hell,Cassette,
"Kalmankantaja ""Talvisota"" MC | Cassette",Kalmankantaja,Talvisota,Cassette,
Chevallier Skrog / Люгер Split Demo | Cassette,,,,
"Accept ""Staying A Life"" MC | Cassette",Accept,Staying A Life,Cassette,
"Marduk ""World Funeral Jaws of Hell MMIII"" Digipak CD | CD",Marduk,World Funeral Jaws of Hell MMIII,CD,
"Chihedo ""The Reversed Order"" MC | Cassette",Chihedo,The Reversed Order,Cassette,
"Grand Celestial Nightmare ""Excluded From Light And The Pleroma"" LP | Vinyl",Grand Celestial Nightmare,Excluded From Light And The Pleroma,Vinyl,
"Unholy Lust ""Taste The Sin Through The Fire"" LP | Vinyl",Unholy Lust,Taste The Sin Through The Fire,Vinyl,
"Hagatiz ""Cursed to the Night"" Digipak CD | CD",Hagatiz,Cursed to the Night,CD,
"Exodus ""Destroy Souza"" 7"" | Vinyl",Exodus,Destroy Souza,Vinyl,
"Remmirath ""Smrť Pútnikova"" CD | CD",Remmirath,Smrť Pútnikova,CD,
"Circle of Ghosts ""Seasonal Catastrophies"" LP | Vinyl",Circle of Ghosts,Seasonal Catastrophies,Vinyl,
"Helios Fundraiser - NWN ""Rok Painting #1"" TS | Vinyl",Helios Fundraiser - NWN,Rok Painting #1,Vinyl,
"Molbol ""V"" CD | CD",Molbol,V,CD,
"Horseback ""Half Blood"" CD | CD",Horseback,Half Blood,CD,
"Cosmic Church ""Arcana Dei"" Double LP (Amor Fati 2022 Press) | Vinyl",Cosmic Church,Arcana Dei,Vinyl,
"Endezzma ""The Arcane Abyss"" CD | CD",Endezzma,The Arcane Abyss,CD,
"Mesrine / Iron Butter ""Grindin' Minds Since 1997 / Beheaded For Breakfast"" Split 7"" | Vinyl",Mesrine / Iron Butter,Grindin' Minds Since 1997 / Beheaded For Breakfast,Vinyl,
"Doomorder ""Protocol: Death"" CD | CD",Doomorder,Protocol: Death,CD,
"GG Allin & The Holy Men ""You Give Love a Bad Name"" LP | Vinyl",GG Allin & The Holy Men,You Give Love a Bad Name,Vinyl,
"Remasculate ""Perversemonger"" CD | CD",Remasculate,Perversemonger,CD,
"Saint Vitus ""C.O.D."" Double LP | Vinyl",Saint Vitus,C.O.D.,Vinyl,
"Athanatos ""Unholy Union"" Digipak CD | CD",Athanatos,Unholy Union,CD,
"Siouxsie and The Banshees ""Demos 1980"" LP | Vinyl",Siouxsie and The Banshees,Demos 1980,Vinyl,
"Interment ""Into the Crypts of Blasphemy"" CD | CD",Interment,Into the Crypts of Blasphemy,CD,
Drekavac / Orgy of Carrion Split LP | Vinyl,,,,
"Sanctophoby ""Malicious Call / Xрам Древнего Зла"" 7"" | Vinyl",Sanctophoby,Malicious Call / Xрам Древнего Зла,Vinyl,
"Autopsy ""Fiend for Blood"" MLP | Vinyl",Autopsy,Fiend for Blood,Vinyl,
"Iku Turso ""Pakana"" Digipak CD | CD",Iku Turso,Pakana,CD,
"Exorcizphobia ""Spiritual Exodus"" LP | Vinyl",Exorcizphobia,Spiritual Exodus,Vinyl,
"Death Sentence ""Not a Pretty Sight Demo 1984"" LP | Vinyl",Death Sentence,Not a Pretty Sight Demo 1984,Vinyl,
"Mantra ""Planeta Odio"" MC | Cassette",Mantra,Planeta Odio,Cassette,
"Order From Chaos ""An Ending in Fire"" CD | CD",Order From Chaos,An Ending in Fire,CD,
"Telos ""Intransigence"" Digipak CD | CD",Telos,Intransigence,CD,
"Voltax ""Hiding into Flames"" CD | CD",Voltax,Hiding into Flames,CD,
"Winged ""Blasphemies From The Arcane Past"" CD | CD",Winged,Blasphemies From The Arcane Past,CD,
"Kyy ""Beyond Flesh - Beyond Matter - Beyond Death"" LP | Vinyl",Kyy,Beyond Flesh - Beyond Matter - Beyond Death,Vinyl,
"Cock Sparrer ""Punk Rock"" LP | Vinyl",Cock Sparrer,Punk Rock,Vinyl,
"Stab ""Meditate to Kill"" MC | Cassette",Stab,Meditate to Kill,Cassette,
"Akitsa ""Devenir le Diable"" MC | Cassette",Akitsa,Devenir le Diable,Cassette,
"Taphos ""Demo MMXVI"" LP | Vinyl",Taphos,Demo MMXVI,Vinyl,
"Stilla ""Till Stilla Falla"" CD | CD",Stilla,Till Stilla Falla,CD,
"Steaming Woodlands ""Demo 1"" Demo | Cassette",STEAMING WOODLANDS,Demo 1,Cassette,
"Zakon Żebrzących ""Animal Liberation Front"" LP (Polish Punk 1989) | Vinyl",Zakon Żebrzących,Animal Liberation Front,Vinyl,
"Bergraven ""Det Framlidna Minnet"" LP | Vinyl",Bergraven,Det Framlidna Minnet,Vinyl,
"Rok ""Burning Metal"" MC (Sadistik Exekution Related) | Cassette",Rok,Burning Metal,Cassette,
"Malum ""Awakening of the Luciferian Darkness"" LP | Vinyl",Malum,Awakening of the Luciferian Darkness,Vinyl,
"Häxanu / Collier d'Ombre ""Seasons in Haxan Dark"" Split LP | Vinyl",Häxanu / Collier d'Ombre,Seasons in Haxan Dark,Vinyl,
"Fedrespor ""Tid"" CD | CD",Fedrespor,Tid,CD,
"Nihil Invocation ""The Chaos of Our Lost and Evil Souls"" Test Press LP | Vinyl",Nihil Invocation,The Chaos of Our Lost and Evil Souls,Vinyl,
"Hexenbrett ""Intermezzo dei quattro coltelli nudi"" MC | Cassette",Hexenbrett,Intermezzo dei quattro coltelli nudi,Cassette,
"Azoth /Bleakwood   Split 7"" | Vinyl",,,,
"Melek Tha / Dolorism / Valle Des Larmes ""Tres Liberabit Si Aenigma Explicata Erit"" Digipak CD | CD",Melek Tha / Dolorism / Valle Des Larmes,Tres Liberabit Si Aenigma Explicata Erit,CD,
"Ahkqueth ""Ajaakonigadamang"" LP | Vinyl",Ahkqueth,Ajaakonigadamang,Vinyl,
"Wallachia ""From Behind The Light"" Clear Vinyl LP | Vinyl",Wallachia,From Behind The Light,Vinyl,
"Darkesthrash ""Place of Horror Demo '91 / Demo 1 '90"" Demo | Cassette",Darkesthrash,Place of Horror Demo '91 / Demo 1 '90,Cassette,
"Immortal ""Diabolical Fullmoon Mysticism"" CD | CD",Immortal,Diabolical Fullmoon Mysticism,CD,
"Grift ""Dolt Land"" CD | CD",Grift,Dolt Land,CD,
"Ifernach ""The Green Enchanted Forest Of The Druid Wizard"" Coke Bottle Green Vinyl LP (NWN Exclusive) | Vinyl",Ifernach,The Green Enchanted Forest Of The Druid Wizard,Vinyl,
Satanic Supremacy / Akerbeltz Split Demo | Cassette,,,,
"NunSlaughter / Sloth Split Picture 7"" | Vinyl",,,,
"Parnassus ""Let the Stars Fall and the Kingdom Come"" Digipak CD | CD",Parnassus,Let the Stars Fall and the Kingdom Come,CD,
"Dark Funeral ""Diabolis Interium"" Double LP | Vinyl",Dark Funeral,Diabolis Interium,Vinyl,
"Primigenium / Aversio Humanitatis Split 7"" | Vinyl",,,,
"Sielunvihollinen ""Hautaruhtinas"" LP (DTB Press) | Vinyl",Sielunvihollinen,Hautaruhtinas,Vinyl,
"Paimon Gate ""Butcher to the Devil's Court"" LP | Vinyl",Paimon Gate,Butcher to the Devil's Court,Vinyl,
"Dråpsnatt ""Skelepht"" LP | Vinyl",Dråpsnatt,Skelepht,Vinyl,
"Exordium ""In Wrath Principle"" LP | Vinyl",Exordium,In Wrath Principle,Vinyl,
"Voodus / Domgård ""Ginnungagap / Ljungeld Over Människan"" Split LP | Vinyl",Voodus / Domgård,Ginnungagap / Ljungeld Over Människan,Vinyl,
"AC/DC ""Who Made Who"" MC | Cassette",AC/DC,Who Made Who,Cassette,
"Black Spell ""Black Spell"" LP | Vinyl",Black Spell,Black Spell,Vinyl,
"Rotten Moon ""The Endless Church"" MC | Vinyl",Rotten Moon,The Endless Church,Vinyl,
"Antaeus / Aosoth ""Wrath Of The Evangelikum"" Double LP | Vinyl",Antaeus / Aosoth,Wrath Of The Evangelikum,Vinyl,
"Master's Hammer ""Jilemnický Okultista"" Violet Vinyl LP | Vinyl",Master's Hammer,Jilemnický Okultista,Vinyl,
"Abhorrot ""Abysmal Echoes"" MC | Cassette",Abhorrot,Abysmal Echoes,Cassette,
"Ordigort ""Demo 1"" MLP | Vinyl",Ordigort,Demo 1,Vinyl,
"Marduk ""Frontschwein"" CD | CD",Marduk,Frontschwein,CD,
"Sacrificial Blood ""Unholy Fucking Hatred"" CD | CD",Sacrificial Blood,Unholy Fucking Hatred,CD,
"Wikka ""Earthdogs"" Test Press 7"" | Vinyl",Wikka,Earthdogs,Vinyl,
"Skald ""Vitterland"" CD | CD",Skald,Vitterland,CD,
"Bhleg ""Solarmegin"" Double CD | CD",Bhleg,Solarmegin,CD,
"Forlis ""Tissue of Life"" CD | CD",Forlis,Tissue of Life,CD,
"Hermóðr ""Rovdjur & Northern Might"" Digipak CD | CD",Hermóðr,Rovdjur & Northern Might,CD,
"Diaboli ""Ancient Worship"" 7"" | Vinyl",Diaboli,Ancient Worship,Vinyl,
"Skuggeheim ""Vinterrikets Konge"" LP | Vinyl",Skuggeheim,Vinterrikets Konge,Vinyl,
"Stoermflood ""Promo 1999"" 10"" | Vinyl",Stoermflood,Promo 1999,Vinyl,
"Fen Walker ""Fare Thee Well Battle Winds"" LP | Vinyl",Fen Walker,Fare Thee Well Battle Winds,Vinyl,
"Triumphal Vengeance ""Atavistic Darkness"" MC | Cassette",Triumphal Vengeance,Atavistic Darkness,Cassette,
"Gates of Ishtar ""At Dusk And Forever"" LP | Vinyl",Gates of Ishtar,At Dusk And Forever,Vinyl,
"Tekarra ""Tekarra"" LP | Vinyl",Tekarra,Tekarra,Vinyl,
"Adzalaan ""Into Vermillion Mirrors"" LP | Vinyl",Adzalaan,Into Vermillion Mirrors,Vinyl,
"Code ""Neurotransmissions - Amplified Thought Chemistry"" LP | Vinyl",Code,Neurotransmissions - Amplified Thought Chemistry,Vinyl,
"Akitsa ""Au crépuscule de l'espérance"" Double LP | Vinyl",Akitsa,Au crépuscule de l'espérance,Vinyl,
"Order of Darkness ""Rehearsal"" Demo | Cassette",Order of Darkness,Rehearsal,Cassette,
"Lord Belial ""Nocturnal Beast"" Digipak CD | CD",Lord Belial,Nocturnal Beast,CD,
"Prosanctus Inferi ""Hypnotic Blood Art"" LP | Vinyl",Prosanctus Inferi,Hypnotic Blood Art,Vinyl,
"Sax ""Moravské Náøez / Zóna Strachu"" Digipak CD | CD",Sax,Moravské Náøez / Zóna Strachu,CD,
"Byyrth ""Cold Autumn Shadows"" LP | Vinyl",Byyrth,Cold Autumn Shadows,Vinyl,
"Graveland ""Carpathian Wolves"" LP | Vinyl",Graveland,Carpathian Wolves,Vinyl,
"Nosophoros ""Alone in Cryptic Labyrinths"" Demo | Cassette",Nosophoros,Alone in Cryptic Labyrinths,Cassette,
"Crasher ""The Human Killing / Starvation"" CD | CD",Crasher,The Human Killing / Starvation,CD,
"Vinterriket / Manifesto split 7"" | Vinyl",,,,
"Angelcorpse ""Exterminate"" LP | Vinyl",Angelcorpse,Exterminate,Vinyl,
"Procession ""Destroyers of the Faith"" MC | Cassette",Procession,Destroyers of the Faith,Cassette,
